SecureSky Simulation Log - 06-May-2025 16:19:49
Attacks: D4 (Spoof D1, Replay D2), D5 (NFZ Evasion), D3 (MitM), D2 (DB Tamper)
====================================
0.0 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
6.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
6.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
6.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
6.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
6.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.0 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.0 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.6 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
7.6 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
7.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
7.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
7.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
7.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
7.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.0 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.0 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
8.9 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
8.9 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
8.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
8.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.0 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.0 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.1 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.1 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.1 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.1 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.2 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.2 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.2 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.2 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.3 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.3 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.3 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.3 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.4 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.4 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.4 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
9.4 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.4 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.5 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.5 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.5 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
9.5 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.5 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.6 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.6 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.6 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
9.6 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
9.6 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.6 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.7 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.7 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.7 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
9.7 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
9.7 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.7 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.8 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
9.8 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
9.8 s | Drone 3 | Verification Failure | Hash Mismatch (MitM)
9.8 s | Drone 3 | MitM Attack Failure | Hash Mismatch (MitM)
9.8 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.8 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
9.9 s | Drone 3 | MitM Attack Failure | Decryption Failure (MitM)
9.9 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
9.9 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
10.0 s | Drone 2 | Verification Failure | Hash Mismatch (DB Tamper)
10.0 s | Drone 2 | Database Tamper Failure | Hash Mismatch (DB Tamper)
10.0 s | Drone 4 | ID Spoofing Failure | Zone Mismatch: Drone in Restricted, ID ABC123 requires Permitted
10.0 s | Drone 4 | Replay Attack Failure | Session ID Mismatch
